ID,ORDER_TYPE,ITEM_TYPE,ITEM_NAME,STATUS,RECEIPT_TIME,ACCEPTED_TIME,SENDER,RECEIVER,PICKUP_PLACE,PICKUP_TIME,PICKUP_PIN,RECEIVE_PLACE,RECEIVE_TIME,RECEIVE_PIN,NOTE
7195e86b-da37-4f42-832f-d23750ee9b91,SEND,小物,登,NOT_ACCEPTED_YET,2023-12-21 19:10:16.921356,,プリント,mmm@numazu.kosen-ac.jp,aaaaaa@numazu.kosen-ac.jp,D科棟,15:20-15:30,,,,1232
781f0fed-5e22-427a-a336-9d8a67d49fb0,SEND,食品(保冷),あ い,NOT_ACCEPTED_YET,2023-12-21 19:12:07.860051,,ahgvigd@numazu.kosen-ac.jp,jaidgad@numazu.kosen-ac.jp,D科棟,16:00-16:10,12345,,,,ない
e17822b3-91ef-453d-84c1-7608e0df65d0,SEND,小物,かいい,NOT_ACCEPTED_YET,2023-12-22 10:48:17.855350,,mine@numazu.kosen-ac.jp,aaaasdd@numazu.kosen-ac.jp,S科棟,16:00-16:10,12345,,,,ないあああ
ba23f565-fe4b-4ce3-8444-56fe8d36496e,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-22 10:55:10.886747,,Me@numazu.kosen-ac.jp,Target@numazu.kosen-ac.jp,D科棟,16:20-16:30,12345678,,,,動けえええ
18d8c9ca-772d-4e1b-9023-53adaf549a2f,SEND,書類,doc,NOT_ACCEPTED_YET,2023-12-22 11:03:11.971353,,Me@numazu.kosen-ac.jp,Tg@numazu.kosen-ac.jp,S科棟,15:20-15:30,1234,,,,なし
e4a0c915-96ee-4482-b411-b74b4b79261c,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-22 11:14:01.153518,,mmmmma@numazu.kosen-ac.jp,tttege@numazu.kosen-ac.jp,C科棟,15:10-15:20,12465476,,,,ない
1e5bfef2-1cd1-411a-80b6-0f1b4e4ec3f4,SEND,小物,ああああ,NOT_ACCEPTED_YET,2023-12-22 11:23:31.085105,,Mail@numazu.kosen-ac.jp,Target@numazu.kosen-ac.jp,C科棟,15:00-15:10,1234,,,,なんでやねん
6d1f3324-2d75-4185-b3c3-509fc958f4e6,SEND,小物,qwd,NOT_ACCEPTED_YET,2023-12-22 11:28:49.030271,,aa@numazu.kosen-ac.jp,sfef@numazu.kosen-ac.jp,D科棟,15:10-15:20,1245,,,,afaas
249ad667-5dda-4222-b36c-d5b9561aceaf,SEND,小物,qfqfqwd,NOT_ACCEPTED_YET,2023-12-22 11:32:44.669603,,sgidqw@numazu.kosen-ac.jp,qwdqwd@numazu.kosen-ac.jp,D科棟,15:10-15:20,12345,,,,アンばびg
4d26628b-f45f-44aa-8281-dead06c0ac6e,SEND,小物,wegty,NOT_ACCEPTED_YET,2023-12-22 11:42:01.263815,,jdygiu@numazu.kosen-ac.jp,awegntewr@numazu.kosen-ac.jp,D科棟,16:10-16:20,1234567,,,,aefwev
cf801787-a462-4119-9a5d-dcc66e728572,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-22 14:30:53.431908,,manabe@numazu.kosen-ac.jp,yamamoto@numazu.kosen-ac.jp,S科棟,15:20-15:30,12345,,,,なし
